screen_name,t_counts,status_id,user_id,created_at,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
ANCALERTS,238,1240491306616406016,44728980,2020-03-19T04:12:29Z,"SM City Cebu will be closed starting Thursday, March 19, 2020 until further notice due to #COVID19. | via SM City Cebu official Twitter account https://t.co/FCBh0Hmmub",TweetDeck,,,,False,False,5453,17,,,,4853038,777,,2009-06-04T21:26:24Z,True,en
ANI,112,1240583549138243591,355989081,2020-03-19T10:19:01Z,"Section 144 (3) of CrPC Act has been imposed in Kodagu district of Karnataka in the interest of public safety till March 31. All hotels, lodges, resorts, and home-stays in the district will remain closed: Kodagu Deputy Commissioner #Coronavirus https://t.co/zmYL5iGObG",Twitter Web App,,,,True,False,0,35,,,,3509083,0,,2011-08-16T05:23:41Z,True,en
latestly,138,1240468671245332485,828841083257778176,2020-03-19T02:42:32Z,"#coronavirus: @Schwarzenegger Advices People To Stay Indoors, Especially Asks Spring Breakers To Not Hit The Beaches (Watch Video)
#ArnoldSchwarzenegger #coronavirus #CoronaVirusUpdate #CoronavirusUSA #coronavirusindia #COVID_19 #CoronavirusPandemic 
https://t.co/WeQUDd4LSz",Twitter Web App,,,,False,False,68,0,,,,56183,339,,2017-02-07T05:41:28Z,True,en
openletterbot,337,1240733136310259712,938533034659168256,2020-03-19T20:13:26Z,"📬 I delivered “President Trump's racism” from Jason, a constituent in Pasadena, Calif., to @RepJudyChu, @SenFeinstein and @SenKamalaHarris #CA27 #CApolitics #CApol #COVID19

📝 Write your own: https://t.co/z5540KFSKD https://t.co/EiZH75D4vS",Resistbot Open Letters,,,,False,False,2,0,,,,16800,3,,2017-12-06T22:18:07Z,True,en
ABSCBNNews,137,1240566480015523840,15872418,2020-03-19T09:11:12Z,"@kristinesabillo FDA approves commercial sale of #COVID19 test kits from S. Korea, China https://t.co/4K3C6QmbQf",TweetDeck,1.240545728314749e+18,15872418.0,ABSCBNNews,False,False,1071,11,,,,6729133,1075,,2008-08-16T10:09:33Z,True,en
TheQuint,108,1240597694386601986,2982269822,2020-03-19T11:15:14Z,"LIVE | The Indian Railways decided to suspend all concessional tickets except for patients, students and those in the Divyangjan category from the midnight of 20 March in view of the novel #coronavirus outbreak.

Follow for updates: https://t.co/5GiyD6bNe1",TweetDeck,,,,False,False,263,1,,,,438471,314,,2015-01-14T09:43:21Z,True,en
ndtv,116,1240588801048637440,37034483,2020-03-19T10:39:53Z,"#JustIn | European Union's Brexit negotiator Michel Barnier says he has #COVID19, reports news agency AFP",TweetDeck,,,,False,False,0,13,,,,12242392,14,,2009-05-01T20:34:48Z,True,en
openletterbot,337,1240775953313189888,938533034659168256,2020-03-19T23:03:34Z,"🖋 Support Shalina by signing “Suspend Rent and Utility Payments” and I’ll deliver a copy to your officials too: https://t.co/XJdejqCYSS

📨 Last delivered to @dougducey, Representative Chávez, Representative Andrade and 1 more  #AZpol #COVID19 https://t.co/44IKH9LLdy",Resistbot Open Letters,,,,False,False,2,1,,,,16801,3,,2017-12-06T22:18:07Z,True,en
ndtv,116,1240654047520096258,37034483,2020-03-19T14:59:09Z,"#Watch | ""Keeping in mind economic challenges arising out of coronavirus, govt has decided to form COVID-19 Economic Response Task Force"": PM Modi on tackling #CoronavirusOutbreak

#Coronavirus #CoronavirusUpdates #CoronavirusIndia #PMModiOnCorona https://t.co/qk1vMenhCE",Twitter Media Studio - LiveCut,,,,False,False,0,7,,,,12245217,14,,2009-05-01T20:34:48Z,True,en
openletterbot,337,1240744724803121152,938533034659168256,2020-03-19T20:59:28Z,"📬 I delivered “Poorly informed COVID comments” from Megan, a constituent in Deerfield, Wis., to @SenRonJohnson #WI02 #WIpolitics #COVID19

📝 Write your own: https://t.co/z5540KFSKD https://t.co/ONaBtI33vk",Resistbot Open Letters,,,,False,False,2,0,,,,16800,3,,2017-12-06T22:18:07Z,True,en
CNNnews18,107,1240504173809897472,6509832,2020-03-19T05:03:37Z,"The number of coronavirus cases in India rose to 166 today.

#IndiaFightsCOVID19

#LIVE Updates on #CoronavirusOutbreak: https://t.co/5c6f06iCzj",Twitter Web App,,,,False,False,178,1,,,,4355757,439,,2007-06-01T20:31:01Z,True,en
openletterbot,337,1240719834351947776,938533034659168256,2020-03-19T19:20:34Z,"🖋 Support Brooke by signing “Help the people / not just corporations in this time of unprecedented need!” and I’ll deliver a copy to your officials too: https://t.co/YOWQPoCw2B

📨 Last delivered to @JohnCornyn, @SenTedCruz and @RepMcCaul #TX10 #TXpolitics #COVID19 https://t.co/xbsYvbR2cr",Resistbot Open Letters,,,,False,False,2,0,,,,16800,3,,2017-12-06T22:18:07Z,True,en
ndtv,116,1240534443636350977,37034483,2020-03-19T07:03:54Z,"“Appeal people in Maharashtra to avoid non-essential travel in buses and trains. Do not want to force anything on you,” says Maharashtra Chief Minister Uddhav Thackeray.

#CoronavirusOutbreak #coronavirus",Twitter Web App,1.2405337821693993e+18,37034483.0,ndtv,False,False,0,7,,,,12245445,14,,2009-05-01T20:34:48Z,True,en
