cid,queries
0,10 23 33 36 40 86 113 120 158 178 228 243 298 309 322 331 341 345 393 509 512 530 577 579 585 592 616 626 631 661 689 742 758 793 812 
1,0 14 26 37 70 82 110 313 314 315 344 395 402 405 461 517 576 580 591 594 633 634 642 658 660 692 724 738 795 932 1139 1181 1292 1316 1709 
2,18 22 30 45 50 65 66 88 116 122 127 128 133 137 154 171 203 216 225 233 236 237 242 272 300 302 336 363 431 432 452 454 472 478 481 
3,4 20 29 57 76 134 138 144 183 185 215 219 226 252 271 278 304 307 319 325 329 332 334 348 353 372 385 390 404 406 411 428 436 445 448 
4,61 68 73 80 91 123 130 168 187 241 244 261 263 284 294 301 375 376 383 398 476 520 583 638 646 667 671 685 688 816 829 838 889 1213 1231 
5,11 15 24 46 78 85 94 102 121 148 166 170 176 208 224 253 282 296 326 338 339 347 361 368 374 379 392 451 489 490 515 522 593 605 606 
6,3 35 52 59 103 145 150 156 159 190 220 229 245 270 280 285 305 358 394 403 409 416 424 443 459 465 475 497 500 521 555 560 562 572 620 
7,8 44 51 58 69 71 74 83 84 101 104 109 126 139 177 180 186 194 196 230 249 257 274 281 288 293 320 323 324 333 335 350 351 355 357 
8,5 17 49 62 63 77 99 111 119 129 131 153 157 161 172 173 175 199 209 234 275 286 340 352 370 396 415 434 440 453 467 503 543 544 551 
9,1 28 64 96 124 125 232 238 248 255 256 276 303 310 328 343 354 359 382 397 408 425 426 435 444 457 468 508 524 528 536 569 581 587 595 
10,38 42 53 54 60 98 115 146 147 160 162 193 202 204 218 235 251 264 287 316 384 412 418 429 430 473 482 499 516 519 535 540 558 559 565 
11,9 13 21 25 31 55 81 141 165 181 206 213 222 231 259 312 321 362 367 377 380 441 442 447 502 513 533 542 553 599 618 677 699 708 714 
12,6 12 16 32 48 105 108 117 163 189 195 221 223 250 262 266 289 290 291 295 306 308 330 342 371 381 388 389 401 407 437 463 466 483 494 
13,27 34 47 87 152 198 201 214 247 258 265 327 423 427 446 477 480 495 505 534 538 546 584 596 601 607 653 668 672 678 679 686 695 707 725 
14,471 1628 2185 2482 3861 
