cid,queries
0,37 38 40 46 55 133 148 166 282 314 315 361 379 402 405 455 461 490 500 515 517 530 601 608 631 
1,14 26 28 33 49 64 68 70 71 81 110 161 214 243 248 265 290 294 303 309 323 331 339 341 357 
2,6 11 18 29 32 34 45 58 59 74 76 117 123 130 134 154 171 193 198 216 226 241 250 253 256 
3,1 9 12 16 47 62 63 69 108 109 111 116 121 124 125 128 137 144 159 170 180 190 195 196 231 
4,15 23 24 27 36 50 53 78 96 98 102 104 105 115 147 157 158 162 176 183 185 202 206 208 213 
5,0 5 8 10 22 61 65 80 85 86 91 138 141 177 187 201 209 221 224 242 247 259 263 266 276 
6,3 4 17 21 30 35 48 60 73 82 84 119 120 127 146 150 156 160 181 204 219 244 252 262 296 
7,20 31 44 51 52 54 77 83 101 126 129 131 139 153 168 173 178 189 194 222 223 229 230 235 237 
8,13 42 66 94 99 103 113 122 145 172 186 225 232 236 238 249 258 272 275 289 298 302 305 328 345 
9,25 57 87 88 152 163 165 175 199 203 218 234 281 295 352 499 572 650 695 865 933 1429 1641 2185 2392 
