cid,queries
0,8 44 53 120 248 261 263 290 372 382 384 395 430 434 464 510 531 569 579 605 676 689 701 702 778 793 1047 1236 1485 2279 2682 2737 2886 3093 3139 3148 3217 
1,11 18 28 108 265 315 341 509 594 616 657 661 681 812 1172 1292 1462 3067 3094 3194 3279 3331 3590 3613 3661 3880 
2,14 58 70 82 110 129 175 244 361 402 405 461 517 535 576 582 583 644 645 666 675 692 693 714 743 746 751 790 958 1027 1212 1231 1487 1677 1747 1772 1793 2211 2752 2834 2864 2901 3040 3170 3204 
3,16 32 48 60 74 80 102 137 166 183 234 253 274 281 284 296 319 326 362 366 368 389 391 406 439 441 488 507 566 571 593 620 633 642 646 655 678 703 716 717 718 734 739 764 775 
4,22 26 69 101 134 181 189 228 259 302 303 316 321 327 338 357 376 452 455 477 508 512 551 592 608 624 638 652 685 789 829 834 859 1181 1237 1316 1882 1949 2231 2390 2438 2626 2663 2994 3099 
5,249 301 324 330 359 377 417 451 466 468 536 607 612 639 643 651 660 683 704 936 1233 1442 1709 1886 2442 2464 2720 3157 3171 3214 3223 3293 3370 
6,31 34 36 47 55 59 64 71 81 117 187 193 203 229 271 276 285 288 314 323 329 336 348 350 380 383 396 401 424 438 442 444 473 481 503 530 572 585 586 596 598 614 629 637 650 
7,1 15 46 49 65 85 91 256 294 298 339 398 408 490 581 626 635 674 688 711 741 776 784 1171 1319 1420 1661 2127 2219 2459 2742 2859 3184 3246 3249 3269 3360 3363 3545 3681 3727 
8,6 38 57 83 116 119 154 170 198 202 225 236 286 295 300 343 358 394 407 431 453 483 519 565 578 580 634 677 691 710 715 725 736 742 762 766 769 783 792 804 854 855 919 931 1139 
9,17 50 84 96 144 146 150 160 206 241 242 251 325 328 334 463 467 472 497 539 542 543 546 555 590 630 663 699 785 786 791 797 801 806 832 1318 1538 1686 2465 2523 2544 3159 3303 3420 3546 
10,13 37 42 86 87 99 103 111 121 130 156 161 163 178 201 209 258 270 272 305 307 313 322 345 347 367 371 409 411 412 423 427 440 447 454 505 533 560 603 617 619 669 684 713 720 
11,23 68 105 127 159 176 196 245 252 426 432 443 471 476 494 506 520 553 554 589 601 627 656 694 706 761 795 811 822 878 1238 1491 1688 1948 2059 2095 2241 2342 2443 2455 2483 2541 2691 3041 3061 
12,0 21 45 51 54 98 115 147 158 162 165 208 223 243 250 257 264 293 306 310 333 351 353 354 393 397 404 428 429 446 484 527 552 559 599 611 621 641 673 698 705 729 732 753 756 
13,5 10 20 33 61 113 177 185 213 215 230 232 255 304 308 309 320 331 388 392 445 465 480 514 528 538 577 587 591 595 604 613 622 668 724 765 821 826 830 889 1232 1584 1588 1999 2206 
14,62 73 78 88 104 123 133 148 157 172 190 222 282 287 340 342 352 379 435 436 489 516 521 567 588 618 631 647 653 658 679 682 726 733 760 803 810 897 933 1122 1201 1207 1226 1229 1281 
15,24 27 30 40 63 94 109 124 128 131 173 204 214 231 238 275 344 370 374 403 425 457 474 478 513 524 544 615 700 708 721 749 759 763 777 794 838 851 865 883 891 1239 1418 1464 1466 
16,66 141 152 194 195 218 219 224 226 375 390 418 437 459 482 495 496 502 534 540 584 606 609 695 707 745 772 808 1240 1732 2711 3243 3296 3369 3549 3588 
17,3 4 25 29 52 76 122 125 126 139 145 153 168 171 180 186 199 233 280 312 332 335 363 385 415 416 475 500 515 558 562 623 640 648 649 665 667 670 686 719 747 773 779 781 814 
18,9 12 35 77 138 216 220 221 237 247 262 266 278 289 291 355 381 448 499 625 671 709 728 787 800 809 870 1213 1472 1541 2054 2138 2210 2248 2249 2480 2482 2904 3239 3312 3356 
19,235 522 
